file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111121_www.iatronet.gr_d206c29c28d96ec0f2ec20a3047f3f540f423019535c8e8a1541a492	30.99	76.10	19.45	0.00	0.00	0.00	121	38	501	0	6	0
20111121_www.iatronet.gr_daefc5bd65a1d9515057b7a1afbf8d982af1d43e9005e12c065047f8	40.94	81.62	27.32	0.00	0.00	0.00	191	43	508	0	5	0
20111121_www.we-dwoje.pl_012ae81383bf532a51947bbadd381c6ecd26f26034aedcd002eb0967	49.97	93.82	34.06	0.00	0.00	0.00	486	32	941	0	5	0
20111121_www.we-dwoje.pl_02d0b364d35d6c4d5b9807d06b76c6d3836002574d4500e48c2dde5e	0.76	3.16	0.43	0.00	0.00	0.00	6	184	1391	0	5	0
20111121_www.we-dwoje.pl_044a8dca7caad27f7636a1e373a2f6147e8e763695f8479d5175b004	42.37	87.18	27.98	0.00	0.00	0.00	408	60	1050	0	11	0
20111121_www.we-dwoje.pl_154a610a3383e8e01d82a83b0cf2197caa632d5489dbaa9f9c88cb79	27.52	89.37	16.26	0.00	0.00	0.00	227	27	1169	0	3	0
20111121_www.we-dwoje.pl_15d4a9a21844a96792bcbacd1aba7a58970b04e527ad8841c011f67a	32.53	86.22	20.05	0.00	0.00	0.00	244	39	973	0	6	0
20111121_www.we-dwoje.pl_21f717e183f110e349e1c9d9de7f8139686d52c9e9b7e2fde7c5a04a	40.47	90.35	26.08	0.00	0.00	0.00	309	33	876	0	5	0
20111121_www.we-dwoje.pl_23e8eed1174fe689688251122a4acf4ece6619471fe85bc7bc656aa6	12.38	13.82	11.21	0.00	0.00	0.00	132	823	1046	0	26	0
20111121_www.we-dwoje.pl_429187ccb9e87e6dfc4652d046e078c61e30166d483fe869fc19976e	44.10	87.61	29.47	0.00	0.00	0.00	488	69	1168	0	14	0
20111121_www.we-dwoje.pl_590fe2663d5fb205f7b17d24b1ae2adfda99081a33566895def4fd99	14.92	32.98	9.64	0.00	0.00	0.00	125	254	1172	0	14	0
20111121_www.we-dwoje.pl_5f8a356d92a7613cf2dd5ff4321157c618efbe8e001dd639eba48013	15.50	30.12	10.43	0.00	0.00	0.00	125	290	1073	0	14	0
20111121_www.we-dwoje.pl_6d6817d20f82986c52426986c94ef4a1de0f35aa9c643662d32a2ca3	66.75	88.31	53.65	0.00	0.00	0.00	1050	139	907	0	29	0
20111121_www.we-dwoje.pl_8c003eb18e2580bb67b442bf5aac95120358d8aabd18cd09bb741d02	39.63	88.71	25.52	0.00	0.00	0.00	322	41	940	0	7	0
20111121_www.we-dwoje.pl_90fd77bec50630920fd87cff4acd69ed5b7a1b8418e2c9faa241d4cb	47.20	93.12	31.61	0.00	0.00	0.00	501	37	1084	0	6	0
